,Dia_C_Xdisp,Dia_C_Ydisp,TC1_Temp_Z0,TC1_Temp_Z5,TC1_pressure_melt,TC1_temp_melt
257,4.1,4.0,148.9,174.9,162.4,176.6
258,4.0,4.1,149.1,174.9,162.4,176.5
259,4.1,4.0,149.2,175.0,162.4,176.3
260,4.0,4.1,149.0,174.9,162.4,176.4
261,4.1,4.0,149.0,174.8,164.2,176.8
262,4.1,4.1,149.1,175.0,162.4,176.3
263,4.1,4.0,149.6,174.8,164.2,176.8
264,4.1,4.0,150.0,174.8,164.2,176.8
265,4.1,4.0,150.1,174.8,164.2,176.8
266,4.1,4.0,149.6,174.8,164.2,176.8
267,4.1,4.0,150.9,174.8,163.7,176.9
268,4.1,4.0,150.1,174.8,164.2,176.8
269,4.1,4.0,150.9,174.8,163.3,176.8
270,4.1,4.0,150.2,174.8,163.3,176.8
271,4.1,4.0,149.6,174.8,164.2,176.9
272,4.1,4.1,151.6,174.9,175.4,177.4
273,4.1,4.1,151.8,174.8,180.6,177.4
274,4.1,4.1,151.8,174.9,174.5,177.3
275,4.1,4.1,151.7,174.8,180.7,177.4
276,4.1,4.1,151.5,174.8,184.9,177.3
277,4.1,4.1,151.9,174.9,176.3,177.4
278,4.1,4.1,151.8,174.9,177.1,177.4
279,4.1,4.1,151.3,174.8,163.3,177.0
280,4.1,4.1,151.7,174.8,187.5,177.3
281,4.0,4.1,149.9,175.0,170.2,176.5
282,4.0,4.1,149.5,175.0,169.4,176.4
283,4.0,4.1,150.4,175.0,170.2,176.6
284,4.0,4.1,149.8,175.0,170.1,176.5
285,4.1,4.1,151.7,174.9,173.7,177.2
286,4.1,4.1,150.9,174.9,171.9,176.9
287,4.1,4.1,150.8,175.0,171.1,176.8
288,4.1,4.1,150.8,175.0,171.1,176.8
289,4.1,4.1,150.8,174.9,171.1,176.9
290,4.0,4.1,147.4,175.0,169.3,176.3
291,4.1,4.1,147.2,175.0,168.5,176.3
292,4.1,4.1,146.1,175.0,169.4,176.8
293,4.1,4.1,145.6,175.1,169.4,176.7
294,4.1,4.1,145.9,175.1,169.4,176.7
